,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
79,Millwall,Preston,1.3080142521724547,0.01028743432056743,H,1.854084089749152,-0.6519380988208883,H,D Bond,0.05484852851663072,0.17038111545764553,0.6104176469868284,0.34095242350492216,1.5173456445374878,-0.5728527850980615,-0.935167346518417,1.233119072614276,0.04264789813947232,-0.2040839625221912,4.636809247747852,-0.25840283834906114
80,Oxford,Burnley,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,J Linington,-1.9942097066329707,0.9123633924506187,-1.416799630829207,-1.1681812543037502,-0.9571478188079059,0.2083101036720226,-1.243464273942071,0.47814821183002537,-0.7250142683710291,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
81,Portsmouth,Sheffield United,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,M Donohue,-0.8765415783695518,0.4177085411219699,-1.0113561752659999,0.34095242350492216,0.28009891286479094,1.7706358812121907,2.7643957825654306,1.6106045030064011,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
82,Watford,Sunderland,0.4760617242889146,0.01028743432056743,H,0.4974371948107481,-0.6519380988208883,H,A Davies,-0.1314294928606058,1.6543456694435918,0.20497419142362136,0.8439969827744795,-0.02921277005338329,-0.31246515550803344,-0.626870419094763,0.47814821183002537,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
83,Swansea,Bristol City,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,-0.6519380988208883,H,A Kitchen,-1.2490976211240248,1.1596908181149432,-1.0113561752659999,1.347041542044037,-0.3385244529715575,0.7290853628520787,-0.935167346518417,1.233119072614276,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
84,Burnley,Plymouth,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,R Madley,-0.5039855356150788,-0.8189285871996521,-0.6059127197027928,-1.6712258135733076,0.8987222787011393,-1.0936280442781174,0.2980203631761989,-1.4092789401306012,-0.7250142683710291,-1.8012627996523831,-0.21566554640687682,-0.25840283834906114
85,Cardiff,Millwall,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,G Ward,-0.6902635569923153,0.17038111545764553,0.20497419142362136,0.8439969827744795,0.8987222787011393,-0.05207752591800542,-0.31857349167110904,0.47814821183002537,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
86,Coventry,Blackburn,1.3080142521724547,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,J Busby,0.7999606140255767,-0.07694631020667887,1.4213045581132426,-0.16209213576463527,0.28009891286479094,-0.05207752591800542,-0.31857349167110904,-1.4092789401306012,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
87,Luton,Oxford,0.4760617242889146,0.9361565231716394,D,1.854084089749152,0.9338572766893806,H,J Bell,-0.31770751423784227,2.149000520772241,-0.20046926413958574,2.3531306605831515,0.5894105957829652,-0.05207752591800542,-0.31857349167110904,0.47814821183002537,0.8103100646499737,0.5945054560429048,4.636809247747852,-0.25840283834906114
88,Norwich,Leeds,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,-0.6519380988208883,H,S Martin,-1.2490976211240248,0.9123633924506187,-1.416799630829207,-0.16209213576463527,0.28009891286479094,1.5102482516221627,0.9146142180235068,0.47814821183002537,0.04264789813947232,1.3930948746080007,-0.21566554640687682,-0.25840283834906114
89,QPR,Hull,-0.35589080359462555,1.8620256120227114,A,0.4974371948107481,2.5196526521996496,A,T Kirk,1.3587946781572862,1.1596908181149432,1.0158611025500355,1.347041542044037,0.28009891286479094,-0.31246515550803344,-0.31857349167110904,0.47814821183002537,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
90,Sunderland,Derby,0.4760617242889146,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,D Whitestone,-0.8765415783695518,0.6650359667862943,-0.6059127197027928,0.8439969827744795,-1.2664595017260802,1.7706358812121907,-1.551761201365725,1.233119072614276,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
91,West Brom,Middlesbrough,-1.1878433314781656,0.01028743432056743,A,-0.8592097001276557,-0.6519380988208883,D,D Webb,-0.5039855356150788,1.1596908181149432,-1.416799630829207,0.34095242350492216,-1.2664595017260802,-1.6144033034581735,-0.31857349167110904,-0.27682264895422526,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
92,Preston,Watford,1.3080142521724547,-0.9155816545305046,H,-0.8592097001276557,-0.6519380988208883,D,A Kitchen,0.24112654989386723,-0.07694631020667887,0.6104176469868284,1.347041542044037,0.28009891286479094,-0.05207752591800542,0.2980203631761989,0.10066278143790006,0.04264789813947232,-1.8012627996523831,-0.21566554640687682,-0.25840283834906114
93,Sheffield United,Swansea,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,L Doughty,0.24112654989386723,-0.8189285871996521,-0.6059127197027928,-1.1681812543037502,0.5894105957829652,-0.8332404146880895,-0.31857349167110904,0.10066278143790006,0.8103100646499737,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
94,Stoke,Portsmouth,3.8038718358230748,0.01028743432056743,H,3.210730984687556,0.9338572766893806,H,T Nield,1.1725166567800498,-0.3242737358710033,1.4213045581132426,-0.6651366950341927,-0.6478361358897318,0.2083101036720226,-0.935167346518417,0.10066278143790006,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
95,Bristol City,Sheffield Weds,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,A Backhouse,-0.6902635569923153,-0.5716011615353277,-1.0113561752659999,-1.1681812543037502,-0.3385244529715575,-0.05207752591800542,-0.010276564247455097,0.10066278143790006,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
