,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
32,Stoke,West Brom,0.16666666666666666,0.3333333333333333,A,0.3333333333333333,0.6666666666666666,A,J Bell,0.17241379310344826,0.2857142857142857,0.16666666666666666,0.5,0.4444444444444444,0.38888888888888884,0.125,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
33,Sunderland,Burnley,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,S Martin,0.4137931034482758,0.14285714285714285,0.25,0.1,0.5,0.8333333333333334,0.1875,0.06666666666666667,0.3333333333333333,0.42857142857142855,1.0,0.0
34,Watford,Derby,0.3333333333333333,0.16666666666666666,H,0.3333333333333333,0.3333333333333333,D,G Eltringham,0.3448275862068966,0.2857142857142857,0.25,0.30000000000000004,0.33333333333333337,0.38888888888888884,0.25,0.13333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
35,Swansea,Cardiff,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.0,H,O Langford,0.2413793103448276,0.25,0.3333333333333333,0.30000000000000004,0.5555555555555555,0.5555555555555555,0.125,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.0
36,Luton,QPR,0.16666666666666666,0.3333333333333333,A,0.3333333333333333,0.0,H,R Madley,0.31034482758620685,0.39285714285714285,0.41666666666666663,0.4,0.5,0.33333333333333337,0.25,0.3333333333333333,0.5,0.2857142857142857,0.0,0.0
37,Burnley,Blackburn,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.3333333333333333,D,T Harrington,0.4482758620689655,0.3571428571428571,0.25,0.30000000000000004,0.611111111111111,0.8333333333333334,0.5625,0.0,0.6666666666666666,0.7142857142857142,0.0,0.5
38,Cardiff,Middlesbrough,0.0,0.3333333333333333,A,0.0,0.0,D,D Webb,0.3448275862068966,0.3571428571428571,0.25,0.5,0.5,0.33333333333333337,0.25,0.4,0.3333333333333333,0.14285714285714285,0.0,0.0
39,Coventry,Norwich,0.0,0.16666666666666666,A,0.0,0.0,D,A Davies,0.4137931034482758,0.3214285714285714,0.41666666666666663,0.1,0.38888888888888884,0.33333333333333337,0.375,0.2,0.6666666666666666,0.42857142857142855,0.0,0.0
40,Derby,Bristol City,0.5,0.0,H,0.3333333333333333,0.0,H,T Nield,0.5862068965517241,0.46428571428571425,0.5833333333333333,0.5,0.611111111111111,0.38888888888888884,0.375,0.6,0.16666666666666666,0.0,0.0,0.0
41,Leeds,Hull,0.3333333333333333,0.0,H,0.0,0.0,D,G Ward,0.48275862068965514,0.3214285714285714,0.41666666666666663,0.2,0.4444444444444444,0.611111111111111,0.5,0.4666666666666667,0.3333333333333333,0.14285714285714285,0.0,0.0
42,Millwall,Sheffield Weds,0.5,0.0,H,0.0,0.0,D,L Doughty,0.5517241379310345,0.14285714285714285,0.3333333333333333,0.1,0.6666666666666666,0.5,0.375,0.4,0.3333333333333333,0.14285714285714285,0.0,0.0
43,Oxford,Preston,0.5,0.16666666666666666,H,0.3333333333333333,0.3333333333333333,D,K Stroud,0.27586206896551724,0.3571428571428571,0.41666666666666663,0.4,0.2222222222222222,0.9444444444444443,0.125,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.5
44,Plymouth,Stoke,0.0,0.16666666666666666,A,0.0,0.0,D,O Langford,0.4482758620689655,0.5357142857142857,0.5833333333333333,0.7000000000000001,0.5555555555555555,0.7222222222222222,0.625,0.26666666666666666,0.16666666666666666,0.42857142857142855,0.0,0.0
45,Portsmouth,Sunderland,0.16666666666666666,0.5,A,0.0,0.3333333333333333,A,S Allison,0.13793103448275862,0.39285714285714285,0.16666666666666666,0.4,0.5555555555555555,0.5555555555555555,0.3125,0.3333333333333333,0.5,0.14285714285714285,0.0,0.0
46,West Brom,Swansea,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,A Backhouse,0.5517241379310345,0.21428571428571427,0.41666666666666663,0.2,0.2222222222222222,0.38888888888888884,0.375,0.4666666666666667,0.6666666666666666,0.14285714285714285,0.0,0.0
47,Sheffield United,Watford,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,A Kitchen,0.5517241379310345,0.25,0.5833333333333333,0.1,0.611111111111111,0.4444444444444444,0.5,0.3333333333333333,0.8333333333333333,0.42857142857142855,0.0,0.0
48,Hull,Sheffield United,0.0,0.3333333333333333,A,0.0,0.3333333333333333,A,P Bankes,0.27586206896551724,0.3214285714285714,0.16666666666666666,0.4,0.1111111111111111,0.33333333333333337,1.0,0.2,0.16666666666666666,0.5714285714285714,0.0,0.0
49,Leeds,Burnley,0.0,0.16666666666666666,A,0.0,0.3333333333333333,A,J Bell,0.5172413793103448,0.25,0.3333333333333333,0.30000000000000004,0.2222222222222222,0.5,0.5625,0.2,0.5,0.5714285714285714,0.0,0.5
50,Millwall,Luton,0.0,0.16666666666666666,A,0.0,0.3333333333333333,A,J Smith,0.31034482758620685,0.3571428571428571,0.25,0.6000000000000001,0.2222222222222222,0.888888888888889,0.375,0.26666666666666666,0.3333333333333333,0.42857142857142855,0.0,0.0
51,Oxford,Stoke,0.16666666666666666,0.0,H,0.0,0.0,D,D Whitestone,0.4137931034482758,0.3214285714285714,0.6666666666666666,0.1,0.05555555555555558,0.1111111111111111,0.25,0.4,0.0,0.14285714285714285,0.0,0.0
52,Blackburn,Bristol City,0.5,0.0,H,0.3333333333333333,0.0,H,S Martin,0.2413793103448276,0.2857142857142857,0.25,0.2,0.5,0.611111111111111,0.375,0.4,0.0,0.5714285714285714,0.0,0.0
53,Derby,Cardiff,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,M Donohue,0.3448275862068966,0.3214285714285714,0.25,0.30000000000000004,0.4444444444444444,0.33333333333333337,0.4375,0.4,0.3333333333333333,0.42857142857142855,0.0,0.0
54,Middlesbrough,Preston,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.3333333333333333,D,T Nield,0.48275862068965514,0.21428571428571427,0.5,0.2,0.1111111111111111,0.9444444444444443,0.5625,0.13333333333333333,0.0,0.7142857142857142,0.0,0.0
55,Plymouth,Sunderland,0.5,0.3333333333333333,H,0.0,0.3333333333333333,A,J Brooks,0.3793103448275862,0.6071428571428571,0.5,0.7000000000000001,0.5555555555555555,0.4444444444444444,0.1875,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.0,0.0
56,Sheffield Weds,QPR,0.16666666666666666,0.16666666666666666,D,0.0,0.0,D,O Langford,0.3793103448275862,0.46428571428571425,0.16666666666666666,0.4,0.1111111111111111,0.16666666666666663,0.6875,0.26666666666666666,0.0,0.42857142857142855,0.0,0.0
57,Swansea,Norwich,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,J Busby,0.2413793103448276,0.46428571428571425,0.3333333333333333,0.30000000000000004,0.5555555555555555,0.5555555555555555,0.25,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
58,Watford,Coventry,0.16666666666666666,0.16666666666666666,D,0.0,0.3333333333333333,A,R Madley,0.5517241379310345,0.6071428571428571,0.5,0.5,0.2777777777777778,0.33333333333333337,0.375,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.0,0.0
59,Portsmouth,West Brom,0.0,0.5,A,0.0,0.3333333333333333,A,L Doughty,0.4137931034482758,0.6785714285714285,0.0,0.7000000000000001,0.7777777777777778,0.1111111111111111,0.625,0.26666666666666666,0.8333333333333333,0.2857142857142857,0.0,0.0
60,Stoke,Hull,0.16666666666666666,0.5,A,0.3333333333333333,0.0,H,B Toner,0.4137931034482758,0.46428571428571425,0.16666666666666666,0.30000000000000004,0.4444444444444444,0.33333333333333337,0.125,0.3333333333333333,0.5,0.2857142857142857,0.0,0.0
61,Norwich,Watford,0.6666666666666666,0.16666666666666666,H,0.6666666666666666,0.3333333333333333,H,A Backhouse,0.5862068965517241,0.39285714285714285,0.6666666666666666,0.30000000000000004,0.1111111111111111,0.2222222222222222,0.1875,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.0
62,QPR,Millwall,0.16666666666666666,0.16666666666666666,D,0.3333333333333333,0.3333333333333333,D,J Busby,0.17241379310344826,0.5714285714285714,0.16666666666666666,0.5,0.2777777777777778,0.4444444444444444,0.3125,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.0
63,Sunderland,Middlesbrough,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,S Hooper,0.2413793103448276,0.39285714285714285,0.16666666666666666,0.1,0.2222222222222222,0.611111111111111,0.1875,0.3333333333333333,0.5,0.2857142857142857,0.0,0.0
64,Bristol City,Oxford,0.3333333333333333,0.16666666666666666,H,0.0,0.3333333333333333,A,W Finnie,0.5862068965517241,0.25,0.5,0.2,0.6666666666666666,0.5555555555555555,0.3125,0.06666666666666667,0.16666666666666666,0.5714285714285714,0.0,0.0
